,post_text
0,"‟ Yannick Blehi s’est vu être dépouillé de son outil de travail, son téléphone portable Redmi note 11 S dans la nuit du 06 Février 2023 ″
Au plaisir de toutes ces personnes qui ont commencé à garder un œil sur mes lucarnes consacrées aux expériences du terrain que je partage assez souvent pour ouvrir un autre onglet sur la compréhension du domaine d’activité que j’ai choisi. Mention spéciale pour la cheffe de communauté, la mère KANE Léa...😄
J’aurai voulu entamer, en cette année, mes petites séries de lucarnes sur une note autre que celle-là si cela ne dépendais réellement que de moi.
Dans la nuit du lundi 6 février 2023 aux alentours de 21h je me retrouvais encore dehors en train de me mettre à la disposition de l’une de ces nombreuses personnes qui sont désespéramment à la recherche d’un logement ici dans la commune de yopougon. Dans la matinée Dame S. avait visité avec moi, un appartement de 02 pièces à l’étage dans le quartier d’ananeraie carrefour Oasis juste au feu tricolore. Tout lui convenait au point de se lancer dans une argumentation convaincante pour être favorite sur la liste des nombreux intéressés. Les discussions ont eu bon vent, rendez-vous pris pour la soirée afin de permettre à dame S. d’être rassurée que son cauchemar est bel et bien terminé car elle doit urgemment quitter l’appartement frappé par l’humidité que son couple habite depuis et que le prioritaire refuse de réparer.
Empêché de rentrer chez moi, j’essaye de ne pas être bien loin du point de rendez-vous st-p-ressant. Il est 20h passé quand le bailleur signale sa disponibilité, j’alerte dame S. ensuite je cherche un taxi rapidement pour être disponible sur place.
C’est dans cette attente, 21h au feu de Niangon nord carrefour Sainte Rita, que 02 individus (des adolescents) à l’avant et arrière d’une moto de marque KTM non immatriculée, arrive à mon niveau, ralentissent légèrement pour bien avoir leur cible dans leur viseur, et en un coup éclaire mon téléphone était passé de mes mains à la main du deuxième individu à l’arrière de la KTM. 2 à 3 coups d’accélérateur du conducteur ont fallu pour que je réalise ce qui venait de se passer réellement : je venais d’être dépouillé de mon outil de travail, nouvellement acquis et possédant d’excellentes capacités techniques (11s 8/128). Quelques petites informations Google pourront être précises sur le symbolique montant à débourser pour s’offrir cet outil de travail.
Ayant vainement tenté de sauver mon outil de travail, je me mets néanmoins en route pour le rendez-vous. J’arrive quand même à temps. Quelques minutes plus tard, arrive dame S. accompagnée bien évidement.
Grande fut ma consternation lorsque j’entends la dame me dire : Mr BLEHI, j’espère au moins que vous savez que je ne peux pas sortir avec un montant assez important à cette heure-ci n’est-ce-pas ?
Aussi naturellement que cela puisse paraitre je demande à la dame : pourquoi ne pas l’avoir expressément mentionné au cours de nos nombreuses communications téléphoniques pour organiser le rendez-vous du soir tant souhaité par vous-même ? Peut-être que je serai présentement chez moi à la maison mon téléphone en main en train de travailler !
Rempli d’un sentiment bizarre, j’ai pris le chemin de la maison. Il est 22h passé. Je n’ai pas manqué de me taper un bel embouteillage Ananeraie-Maroc pour être à la maison autour de 00h.
Le lendemain matin je me réveil, quelque chose à changé à mes habitudes matinales. Pas de téléphone, pas d’actualités, pas de pages Facebook et groupes whatsapp immobiliers, pas de travail donc. Vrai chômage technique. Mdr 😄😄😄!
La nuit ayant fait ses effets, je suis parvenu à prendre du recul dans la compréhension de l’expérience malheureuse que je venais de connaitre, cette fois-ci en étant suffisamment objectif. J’ai entrepris les démarches administrative et juridique pour obtenir réparation et s’il le faut me procurer un autre outil de travail au cas où les choses traineraient...


A suivre...😄"
1,"3pieces 170000f Yopougon batim extension ou Victor lobad au premier étage et au 2iem étage avec balcon bon standing nouvelle maison habitable pour la fin
Visite 5000

0140521178/0555556156"
2,Bonjour besoin urgent d'un studio Dee 50000 au millionnaire ou dans les environs de sapeur pompier
3,"SONGON GRAVIER
REZ-DE-CHAUSSÉE

✅2 PIÈCES
1DWC
LOYER : 60.000

✅3 PIÈCES
2DWC
LOYER : 100.000

VISITE : 5000

0140521178/0555556156"
4,"studio à yopougon cité verte bon standing avec balcon staffé placards dans la chambre vide loyer 80.000
Visite 5000

0140521178/0555556156"
5,"À louer une 3 pièces 150 milles Francs bail gendarmerie et militaires avec taux de bail 130 milles Francs on paye la différence et 1 mois agence au 1er étage avec balcon 2 douches et 2 WC nouvelle construction Yopougon Maroc antenne vers le petit marché visite possible

0140521178/0555556156"
6,"🟢 🛑 LOCATION
02 PIÈCES
LOYER 70000 FRS
📍CAUTION 04 MOIS PLUS 30
YOPOUGON NIANGON ACADÉMIE PBAS RESIDENTIEL
INTÉRESSÉ 0102737202
WATTSSAP 07 77972646"
7,"YOP ANNANERAIE POULET CHAUD
APPARTEMENT 4 ÈME ÉTAGE
2 PIÈCES
2DWC
CAMÉRA DE SURVEILLANCE
PARKING PRIVÉ
VIGILE H24
SERVICE D'ENTRETIEN
LOYER : 150.000
VISITE : 5000

0140521178 / 0555556156"
8,"YOPOUGON ACADÉMIE:
☎️07 47 61 79 19
☎️05 64 12 64 90

🏠2PIÈCES 70.000 AVEC DOUCHE WC,CUISINE ET PLACARD DANS LA CHAMBRE AU 1ER ÉTAGE.

FRAIS DE VISITE OBLIGATOIRE."
9,"songon carrefour bimbresso vers la forêt
✅4portes de studio 50000f.
5mois+25.000
✅4portes de 2pieces 80000f 2dwc
5mois+ 40.000
✅4portes de 3pieces 120000f 2dwc
5mois +40.000
✅4portes de 3pieces 130000f 2dwc
4mois +40.000f

Visite : 5000

0140521178/0555556156"
10,"Location appartement de 3 pièces 130 milles Francs au 1er étage avec balcon 2 douches et 2 WC nouvelle construction déjà prête à être habiter Yopougon Maroc bagnon carrefour canal visite possible
Contact 0140521178/0595580033"
11,"MAISON A LOUER
A YOP AZITO BIEN PLACEE
AU REZ DE CHAUSSÉE
JOLIE ET GRAND STUDIO
PRIX : 60.000 X 6 + 30.000
CONTACT: 03214299"
12,"INFO : 0779164384 WHATSAPP VIDÉO

GRANDE RÉSIDENCE MEUBLE STUDIO AU 3EME ÉTAGE AVEC GRAND BALCON A CÉDÉ :
PRIX : 1.300.000FR A DÉBATTRE
LOYER : 50.000FR/MOIS, VISITE : 5000FR…"
13,"A LOUER YOPOUGON BAGNON CITÉ SIPIM APRÈS COLLÈGE RAMAT
3PIECES
2DWC
LOYER :130.000FR
AU 1ER ÉTAGE NOUVELLE MAISON.
6 MOIS+ 50.000
VISITE 5000

0140521178"
14,"2 pieces 90mil nouvelle maison basse Yop cité verte habitable au tour du 15 mars sodeci cie individuel reste quelques petites retouches
Nb. A 30m de la route bien situé

0778377096/0102548899"
15,"2pce 80000 derrière l'église Saint Laurent (secteur kouté)
Visite 5000

0140521178/0555556156"
16,"3 pièces 150.000 AU 3E YOPOUGON MAROC
Visite : 5000
0140521178/0555556156"
17,"YOPOUGON NIANGON AZITO
3 PIÈCES REZ-DE-CHAUSSÉE
3DWC
LOYER : 150.000
VISITE 5000

0140521178/0555556156"
18,"A LOUER APPARTEMENT DE 03 PIÈCES À YOPOUGON azito

KAPELO immobilier met en location un appartement de 2 chambres salon a yopougon AZITO carrefour super marché place Au 3è étages avec 2 balcons et 2 douches wc

Plus COMMODITÉ
✅ 02 grande belle chambre de 3 places
✅ 02 grande placard de 4 battante
✅ 02 belle douches spacieux
✅ 01 grand salon
✅ 01 très grand balcon carrelé
✅ 01 très belle cuisine africaine spacieuses
✅ staffer partout
✅ conteur CIE de SODECI individuelle

🔹 loyer 140 000 fcfa
🔹 conditions 6 mois
2 mois de caution
3 mois d'avance
1 mois d'avance
🔹 visite 5 000 fcfa
🔹 cel 07 09 51 58 95

ICI👇
https://www.facebook.com/kepeloimmobilier/"
19,"CETTE MAISON EST PRISE AUJOURD'HUI
12/02/2023
0102737202"
20,"Nouvel immeuble à Bimbresso forêt songon
Studio 50 mille x 5+ 30 mille
2 pièces 2 dwc 80 mille x5 +30 mille
3 pièces 2dwc 120 mille x 5 +30 mille
3 pièces 2 dwc 130 mille x 5 + 30 mille
Visite 5000 FCFA
0140521178/0555556156"
0,PLUSIEURS #MAGASIN_A_LOUER A PARTIR DE 50.000F A YOPOUGON DISPONIBLES. CLIQUER ICI POUR INTEGRER 👇🏿
1,"Studio 45.000 en face de la pharmacie beraca sur la voie non bitumé dans le quartier caution 6 mois + 20.000
Visite : 5.000
Tél : 07 79 98 87 75
01 01 85 16 54
Nb: compteur individuel"
2,Commandez par appel ou whats app au 0554883206
3,"⚡🔌⚡🔌⚡🔌⚡🔌⚡🔌⚡🔌

*MARCHÉ DE POSE POTEAUX*

*BINGERVILLE AKOUÈ AGBAN*

*45HA*

DOCUMENT : *APPROBATION*

DOTATION : *30 millions* POUR *4 LOTS*

APRÈS TRAVAUX : *1LOT/HA*

*ATTESTATION DISPONIBLE*

TU PAIES, TU TRAVAILLES

*CONTACT : 05-45-03-68-15"
4,"🥰🛏‼️ Girl Love ⛔️🤛🥴👌

🥰 🛏!! ️ Amour de fille ⛔️ 🤛🥴👌"
5,metal glasses
6,"Nous ouvrons officiellement le restaurant 𝐋𝐞 𝐏𝐎𝐑𝐂'𝐓𝐔𝐆𝐀𝐋 à Yopougon Azito carrefour Conteneur au bord de la lagune Ebrié les jeudi 23, vendredi 24, samedi 25 et dimanche 26 février de 12h à 30h 😋"
7,
8,"A LOUER A ANGRE
DJOROBITÉ 2
VILLA DUPLEX 8 PIÈCES dont:
2 -salons
4 -chambres
autonomes avec
grand balcons
2 indépendantes
2 -cuisines
1 - salle de cinémaPlus
1- grand bureau avec
2 balcons
1 - grand garage de 4
voitures
1- Vaste jardin
BUREAU OU HABITATION
NB: piscine en cours
et possibilité de
location avec
meubles

*Loyer* : 2 000 000fcfa
intéressé Appelez Moi
07 57 05 74 48
Visite 5000frs"
9,"#GRAVIER_Pro
Nous vous fournissons du gravier sur vos différents sites de construction
à seulement 6.500f la tonne du gravier et des
Briques industrielles de qualité a des prix économique.
N'hésitez pas a nous contacté
🪀±2250768703231/ +2250584429239
#CARRIERE
#GRAVIER
#ABIDJAN"
10,saffsa f @id 3sdfds 😙💟🎃🤑
11,saffsa f @id 3sdfds 💜😅🔔✌️
12,"Men's Polarized Sunglasses

Lunettes de soleil polarisées homme"
13,gggasdasd 🤣🕉😜⏳
14,saffsa f @id 3sdfds 🙀🤠🔰😂
15,"Studio 50000f Yopougon près de la cité Charles Diby au premier étage caution 5mois plus 30000f
0500601910"
16,"2 pièces 120000f Yopougon niangon Texaco dans la cité coprim au 3iem et au 4iem étage avec balcon prêt habiter haut standing j'ai pas l'image on peut visiter à tout moment
0500601910"
17,"😇💓Touche la main de Jésus🫰, qu'en 2023, aucune maladie, aucune mort, et aucun mal n'entrent dans ta maison. Au nom de Jésus. ☘ Toucher ici les lettres bleues et la bénédiction de Dieu dépasse votre imaginationPlus ! vous trouverez le chemin de la paix et le moyen de changer votre destin et celui de votre famille.🙇‍♀️
https://m.me/labible.fr?ref=fyw-\-\ &ref=website-\-\cotdv_gr009num=20232159503"
